local_id,remote_id.*
2598,reference/ml/StruyfB17 
2450,reference/ml/Webb17j 
2452,reference/ml/Webb17d 
1876,journals/jcisd/LavineDBK03 
1457,journals/jcisd/HuffenbergerW75 
1874,journals/mlc/HuangWL11 
3770,journals/jcisd/HamrickKB92 
1872,journals/jcisd/MatsuzakiNIH82 
1082,journals/jcisd/MurrallD90 
1736,reference/ml/X17jk 
1879,conf/cig/GalliLCL11 
2650,journals/jcisd/SettleWKPSB92 
2883,reference/ml/X17fa 
974,journals/jcisd/WrightPH94 
972,reference/ml/Wirth17 
3691,journals/jcisd/TerryBM99 
1080,conf/iciar/MohammedWS10 
978,journals/jcisd/MawH00 
1503,journals/jmlr/El-YanivW10 
1501,conf/seke/NoorianBD11 
3596,journals/jmlr/AliferisSTMK10 
1507,reference/ml/X17hq 
1504,journals/corr/abs-1112-3877 
1508,reference/ml/X17hr 
3705,conf/hais/TellaecheAIM10 
2466,journals/jcisd/QiaoHZGX02 
311,journals/jcisd/GunerHP92 
658,journals/fac/FalaschiS17 journals/pomacs/ChaintreauGZ17 
3088,journals/csl/ShinCK10 
2620,journals/datamine/MacedoCB00 
1367,conf/compsac/QinZWWZH11 
2626,journals/jmlr/HuangHCL10 
2627,journals/jcisd/Westbrook93 
2624,reference/ml/ChandolaBK17 reference/ml/Cohn17 series/synthesis/2012Settles 
3872,journals/jcisd/BraunGMZ93 
3874,reference/ml/X17tm 
3875,reference/ml/ChristenW17 
3527,journals/jcisd/FletcherMP96 
3525,journals/sigsoft/MalhotraKS10 
3522,reference/ml/X17gx 
3289,reference/ml/X17co 
3288,journals/jcisd/DuvenbeckZ93a 
3285,reference/ml/BrazdilVGS17 
1912,reference/ml/X17sf 
2656,journals/jcisd/VogtVK03 
2112,journals/jmlr/ZhangWLJ12 
3281,journals/datascience/Namyslowska-WilczynskaW02 
3280,journals/jcisd/NelsonHBB75 
3884,reference/ml/FurnkranzH17a 
919,journals/lalc/JockersW10 
3449,reference/ml/Garriga17 
3448,conf/bmei/ZengJZXG11 
1656,journals/jcisd/SatohF95 
3277,journals/jcisd/Vogue96 
860,journals/jcisd/WangN89 
863,journals/jcisd/Moulton93 
949,reference/ml/X17kc 
3274,series/sci/Maloof10 
867,reference/ml/Furnkranz17h reference/ml/Furnkranz10c 
2757,conf/maics/VanderbeckBO11 
1598,journals/jcisd/Small92 
3143,journals/jcisd/HallS96 
2752,conf/biostec/SongAL10 
2751,books/daglib/0078431 
1819,conf/ssdbm/HinterbergerMG94 
1243,journals/jcisd/CaiH98 
3115,journals/bmcsb/PlaimasEK10 
2758,journals/gis/MacEachrenWEHM99 
880,conf/icmla/NalbantovDRLS11 
569,journals/ipm/Vleduts-Stokolov82 
3113,conf/ijcnn/RomeroVG10 series/sci/RomeroVG10 
889,journals/jcisd/OConnor77 
888,journals/jcisd/TerryM98 
1604,reference/ml/X17js 
2824,conf/kesamsta/OSheaBC10 
3600,series/synthesis/2010Szepesvari 
3149,conf/mascots/BuRX11 
20,journals/cmpb/VoigtDYEL10 
3110,journals/scientometrics/Artus96 
1519,journals/jcisd/ClarkFM96 
1968,conf/dmin/MballoM10 
1616,journals/jcisd/Drie97 
1965,conf/cinq/2004 
3238,reference/ml/X17ex 
1967,reference/ml/X17ff 
1612,reference/ml/X17jq 
2538,reference/ml/X17me 
3712,journals/jcisd/Rispin81 
3675,conf/bncod/ToddMB84 
562,journals/jcisd/Simmons99 
2873,journals/pdln/ArregiCIGSZ10 
3628,reference/ml/X17p 
2872,conf/isda/JungA11 
2870,reference/ml/X17fg 
2877,series/sci/CeciAM10 
3621,journals/jcisd/BaxterMWLSBPW00 
2819,reference/ml/Silva17 
2879,conf/sdt/1984 
3622,journals/pieee/ZhangIT11 
3625,journals/jcisd/XuA03 
3476,journals/jcisd/Csizmadia00 
2492,conf/iassist/Doorn05 
77,conf/icse/Cleland-HuangCGE10 
76,conf/igarss/CloseWG11 
3357,conf/mldm/2011 
74,conf/dbtel/2001 
3350,reference/ml/Fern17 
3353,conf/sigmod/Tgieman93 
1572,journals/widm/BacarditL13 
2972,series/sci/2010-262 
3057,reference/ml/X17bk 
3054,reference/ml/X17bl 
3055,reference/ml/X17bm 
3359,conf/geos/Martins11 
1571,reference/ml/X17fp 
2974,journals/ivc/RaducanuVL10 
2975,conf/bicob/RasheedR11 
1042,series/sci/KacprzykS10 
504,journals/aim/WarrickHKP12 conf/iaai/WarrickHKP10 
1049,reference/ml/LiuW17 
1048,reference/ml/Buhmann17 
2955,journals/jcisd/Nagaraja97 
3027,journals/vldb/GaasterlandJR05 
1768,journals/jcisd/BauknechtZBLWSG96 
1685,journals/ml/DiegoMM10 
1689,reference/ml/Ratnaparkhi17 
1688,journals/jcisd/Tominaga98 
1760,reference/ml/X17ip 
1766,journals/jcisd/GinnTWFH97 
50,journals/db/BariffG82 
1143,reference/ml/X17ld 
1141,reference/ml/X17lk 
1146,journals/ml/Langley11 
3520,conf/setn/KotaniY10 
1145,reference/ml/X17lf 
3497,journals/jcisd/CundariR01 
1149,reference/ml/X17ln 
1267,journals/siamjo/ByrdCNN11 
1266,reference/ml/Miikkulainen17c 
1265,series/sci/2010-263 
1264,conf/nato/93 
2095,journals/ml/JordanGJS99 
2954,journals/intr/Robbin95 
3658,reference/ml/Keogh17 reference/ml/Keogh10 
2985,conf/webist/Waltinger10a 
2092,journals/ml/AndrieuFDJ03 
3657,journals/widm/Hullermeier11 
1913,reference/ml/X17sg 
2717,reference/ml/X17mz 
2525,reference/ml/X17lr 
1547,reference/ml/X17ly 
3128,reference/ml/Munro17 
2526,reference/ml/X17lz 
2521,reference/ml/X17lu reference/ml/X10lf reference/ml/X10lg 
2714,conf/jurix/MaatKW10 
2523,reference/ml/X17lp 
2489,journals/ml/BarrenoNJT10 
3283,journals/jcisd/MawH01 
3121,journals/tnsm/FrancoisASF10 
2482,journals/jcisd/WoodRG93 
2483,conf/isd/1999 
3124,journals/chinaf/YaoZ02 
3125,conf/icwsm/PennacchiottiP11 
3169,journals/artmed/DelenOK10 
3361,journals/jcisd/OHaraP91 
545,journals/tcbb/SehgalDNSE11 
8,reference/ml/JinH17g 
3176,reference/ml/OrbanzT17 
1461,journals/jcisd/FangW02 
1460,series/sci/Bratko10 
521,conf/kbse/ChenHX11 
1315,journals/chinaf/ChenYBZZC02 
2467,journals/jcisd/RuizSG93 
991,reference/ml/Morik17 reference/ml/Morik10 
990,reference/ml/X17hv 
1311,reference/ml/LingS17a 
1310,journals/jcisd/AllenBCH95 
2705,conf/icannga/SaarikoskiLJJ11 
2969,conf/fuzzIEEE/BalazsBK10 
2707,reference/ml/Mladenic17 
2661,journals/jcisd/GreeneKSST94 
999,reference/ml/X17ia 
998,reference/ml/X17na 
1785,reference/ml/X17mk 
3401,series/ais/DietterichBKS10 
3400,journals/jcisd/Wilhoit80 
3403,conf/ike/Al-ModayanR10 
3405,conf/dils/2004 
3404,conf/dils/2005 
577,journals/jcisd/RaoSHC79 
3409,journals/jmlr/DingS10 
15,journals/jcisd/CookeS01 
2654,journals/jcisd/NicolaouTKBN02 
2445,reference/ml/Hinton17a 
14,journals/jcisd/GoddenSB00 
3385,journals/ijmi/SchubartE00 conf/amia/SchubartE99 
1136,journals/jcisd/DuboisCP91 
520,journals/jcisd/Heaps75 
1188,reference/ml/X17ey 
2951,conf/socpar/CallejaBMF11 
1407,journals/jcisd/ChenRY98 
1827,journals/datascience/Pogliani02 
1022,conf/imf/Ziemniak11 
1821,journals/jcisd/Lefkovitz75 
928,reference/ml/X17ka 
1579,journals/jmlr/PedregosaVGMTGBPWDVPCBPD11 
2798,journals/mlc/Wang10 
1389,journals/datascience/Tabuchi04 
920,reference/ml/X17du 
921,reference/ml/X17kf 
1404,conf/ibm/1975 
1380,journals/jcisd/LeiZ02 
925,reference/ml/X17kb 
2794,reference/ml/X17kq 
927,reference/ml/X17jz 
3580,journals/jbi/DangerSFR10 
3825,conf/enase/ZhangYW11 
1029,journals/jods/2005-2 
1409,journals/jcisd/BoitenON95 
310,reference/ml/Alexandrova-KabadjovaGM17 
2769,journals/jcisd/WangW00 
3815,journals/jcisd/XieTS00 
1920,conf/tac/Castillo10 
809,reference/ml/X17dx 
1922,conf/bibe/HaasKRSS00 
3583,journals/ivs/X06 journals/ivs/ChiuPSC05 
1925,conf/ssdbm/RomanelloBBJLMPRS05 
3270,reference/ml/X17es 
3271,conf/acai/SinghA11 
3584,journals/jcisd/ODonohue75 
3370,conf/flairs/RasorOD11 
369,journals/mlc/HeW11 
3279,reference/ml/Dasgupta17 
3474,conf/ida/1997 
833,reference/ml/X17bn 
830,reference/ml/X17dc 
831,conf/ijcai/LacroixNRV03 
3470,journals/mss/Maydeu-Olivares02 
3577,books/daglib/0026018 journals/aim/Zhang01 
3587,reference/ml/X17lw reference/ml/X10li 
3478,conf/mammo/MacParthalainZ10 
502,journals/computer/HibbardS89 
2664,reference/ml/Wiegand17 
2665,conf/dasfaa/XieB11 
368,journals/corr/abs-1106-4872 
2937,conf/evoW/VanneschiFGMAP10 
365,reference/ml/X17cq 
362,reference/ml/Zhang17c reference/ml/Zhang10c 
363,series/sci/KubatSD10 
2668,journals/ijon/MalathiMB10 
2669,series/sci/SmirnovMNS11 
2449,journals/jcisd/Jackson93 
25,conf/icmla/Zhang11 
2485,journals/jcisd/LefkovitzRKH81 
1368,journals/jcam/LopezMMTV10 
1304,reference/ml/X17py reference/ml/X10pe 
2935,conf/incos/MenkovskiEL10 
1777,journals/jcisd/CarabedianD91 
2931,reference/ml/Brown17 
380,reference/ml/Lloyd17 
383,journals/jcisd/PattersonSW95 
386,reference/ml/X17cf reference/ml/X17ce 
3311,reference/ml/X17ct 
3310,reference/ml/X17cv 
3313,journals/sigops/Bodik11 
3383,conf/aaaiss/Amin10 
2350,journals/jcisd/PittmanSY02 
3317,journals/jcisd/StanleyM89 
1647,journals/jcisd/ExnerKV93 
1640,conf/isqed/WuuPM11 
1643,journals/jcisd/LaidboeurLCB94 
1729,reference/ml/Auer17 
1723,conf/networking/WagnerFSE11 
